,date,comment,rate,resturant name,preprocessed comment
149,2023-07-09,واقعاً عالی و جای حرف ندارد,۵,فست فود کلوا,واقعا عالی حرف
150,2023-05-26,طعم عالی غذا ب موقع و گرم تحویل داده شد.سپاس فراوان,۵,فست فود کلوا,طعم عالی غذا ب موقع گرم تحویل دادهشد سپاس فراوان
151,2022-10-11,خیلی ممنون بابت کیفیت خوب؛ من مسافر هستم از تهران و واقعا با بهترین برند‌ها قابل مقایسه است. ساعت از نیمه شب گذشته بود. پیتزا داغ به دست رسید و لذت بردیم.,۵,فست فود کلوا,ممنون بابت کیفیت خوب مسافر #هست تهران واقعا برندها قابلمقایسه ساعت نیمهشب گذشتهبود پیتزا داغ دست لذت برد#بر
152,2022-01-21,مرغ سوخاری خیلی بد بود,۴,فست فود کلوا,مرغ سوخاری بد
153,2022-03-04,بهترین تو سمنان...,۵,فست فود کلوا,سمنان
154,2023-05-25,عالی و خوشمزه بود اولین خریدم از کلوا تجربه خوبی بود.همه چی عالی,۵,فست فود کلوا,عالی خوشمزه خرید#خر کلوا تجربه چی عالی
155,2022-08-01,ازاین فست فود انتظارم غذایی با کیفیت بالاتر بود,۳,فست فود کلوا,ازاین فست فود انتظار غذا کیفیت بالا
156,2023-07-24,کیفیت بیست خیلی عالی بود,۵,فست فود کلوا,کیفیت بیست عالی
157,2022-09-16,کیفیت بسسسسسیار پایین بود,not rated,فست فود کلوا,کیفیت پایین
158,2023-06-24,عالی و بی نظیر,۵,فست فود کلوا,عالی بینظیر
159,2023-05-27,خوب بود و بهتر از اون منشی خوش اخلاقشون خانوم اقبالی که در خرید حضوری واقعا اخلاق خوبی داشتن,۵,فست فود کلوا,خوب اون منشی خوش اخلاقشون خانوم اقبال خرید حضور واقعا اخلاق
160,2023-07-04,مزه و کیفیت غذا خیلی عالی بود,۵,فست فود کلوا,مزه کیفیت غذا عالی
161,2023-07-14,طعم غذا عالی بود و تمیز و سریع به دستم رسید,۵,فست فود کلوا,طعم غذا عالی تمیز سریع دستم
162,2022-09-30,مثل همیشه عالی,۵,فست فود کلوا,عالی
163,2023-05-17,آدرس را اشتباه کرده بود,۴,فست فود کلوا,آدرس اشتباه کردهبود
164,2023-06-19,مرغش بو میداد,not rated,فست فود کلوا,مرغ بو میداد
